Item Name,Description,Mfg Part #,Category,Rate,Item Type
8733933939,BOSCH CONTROL BOARD,,Equipment,327.81000,Inventory
000-CZ0-0253-S,DELFIELD Refrigeration Control Assy. for Delfield,,Material:Refrigeration,707.16000,Inventory
00218ET3E145T-S,"WEG 2HP 1800 3 60 208-230/460, J2 MFG Item Number 00218ET3E145T-S",,Material,1141.96000,Inventory
00718OT3E213T-S,"WEG General Purpose Motor: Open Drip Proof, Rigid Base Mount, 7 1/2 HP, 1,770 Nameplate RPM",,Material,2439.15000,Inventory
02-2217-02,"Inlet Valve and Float Assembly ICE MACH.FLOAT/VALVE OEM: Scotsman; Replaces: 02-2217-02; Description: Brass/Plastic; Inlet Conn.: Horizontal – 1/4"" Co",,Material:Refrigeration,155.61000,Inventory
02-4303-01,"Scotsman 02-4303-01 Grill, Frame, CU30",,Material:Refrigeration,249.15000,Inventory
02-4303-02,"Scotsman 02-4303-02 Grill Insert, Left Hand, 30"" Model, CU3030",,Material:Refrigeration,170.87000,Inventory
02-4308-02,"Scotsman 02-4308-02 Air Filter, Front, 30"", Model CU30",,Material:Refrigeration,166.87000,Inventory
02-4652-01,Scotsman Float Valve with Out Shut Off,,Material:Refrigeration,381.28000,Inventory
054117,054117 Door Gasket Brand: Bally Refrigerated Boxes,,Material:Refrigeration,194.13000,Inventory
06001921,"Glastender 06001921 Coil, Evaporator, 2 Wall Coolers, 14 x 6",,Material,624.62000,Inventory
06006096,"Glastender 06006096 Expansion Valve, Txv, R134A, 1/6 Ton, 1/4"" Inlet",,Material,309.52000,Inventory
06006106,22-1/4 x 26-1/8 Dr Gasket for Glastender,,Material:Refrigeration,165.28000,Inventory
1 1/8SDS,"SDS-MAX Drill Bit: 1 1/8 in Drill Bit Size, 18 in Max Drilling 23 in Overall Lg",,Material,0.00000,Non Inventory
1 WAY-10X10,AIRCBML11010 10X10 ONE WAY WHITE GRILL,,Material,80.84000,Inventory
1 WAY-10X10 OBD,AIRCBOB11010 10X10 ONE WAY OBD WHITE,,Material,144.52000,Inventory
1 WAY-10X6,AIRCBML11060 10X6 ONE WAY WHITE GRILL,,Material,51.81000,Inventory
1 WAY-12X12,AIRCBML11212 12X12 ONE WAY WHITE GRILL,,Material,83.67000,Inventory
1 WAY-12X8,AIRCBML11208 12X8 ONE WAY WHITE GRILL,,Material,78.97000,Inventory
1 WAY-14X6,AIRCBML11406 14X6 ONE WAY WHITE GRILL,,Material,74.26000,Inventory
1 WAY-6X4,AIRCBML10604 6X4 ONE WAY WHITE GRIL AIR GUIDE,,Material,51.24000,Inventory
1 WAY-6X6OBD,AIRCBOB10606 6X6 ONE WAY OBD WHITE GRILL,,Material,107.17000,Inventory
1 WAY-8X4,AIRCBML10804 8X4 ONE WAY WHITE GRILL,,Material,51.75000,Inventory
1 WAY-8X4OBD,AIRCBOB10804 8X4 ONE WAY OBD WHITE GRILL,,Material,80.38000,Inventory
1 WAY-8X8,AIRCBML10808 8X8ONE WAY WHITE GRILL,,Material,0.00000,Inventory
"""10"" HOOD CAP""","10 Inch Hooded Wall Vent with Screen and Damper, Outdoor Wall Exhaust Vent Cover Cap for Kitchen Range Hood Dryer Exterior Ventilation and Outside Air",,Material,204.45000,Inventory
102-50,"Copper Hard Pipe 4-1/8""",,Material:Copper,0.00000,Inventory
102-51,"Copper Soft Tubing 1/4""",,Material:Copper,6.50000,Inventory
102-52,"Copper Hard Pipe 3/8""",,Material:Copper,0.00000,Inventory
102-53,"Copper Soft Tubing 3/8""",,Material:Copper,8.84000,Inventory
102-54,"Copper Hard Pipe 1/2""",,Material:Copper,0.00000,Inventory
102-55,Copper Soft Tubing 1/2,,Material:Copper,10.83000,Inventory
102-56,"Copper Hard Pipe 5/8""",,Material:Copper,37.83000,Inventory
102-57,"Copper Soft Tubing 5/8""",,Material:Copper,15.84000,Inventory
102-58,"Copper Hard Pipe 3/4""",,Material:Copper,24.91000,Inventory
102-59,"Copper Soft Tubing 3/4""",,Material:Copper,16.44000,Inventory
102-60,"Copper Hard Pipe 7/8""",,Material:Copper,52.19000,Inventory
102-61,"Copper Hard Pipe 1 1/8""",,Material:Copper,46.03000,Inventory
102-62,"Copper Hard Pipe 1 3/8""",,Material:Copper,67.41000,Inventory
102-63,"Copper Hard Pipe 1 5/8""",,Material:Copper,0.00000,Inventory
102-64,"Copper Soft Tubing 7/8""",,Material:Copper,55.02000,Inventory
102-65,"Copper Soft Tubing 1-1/8""",,Material:Copper,0.00000,Inventory
1029118-1,21-7/8 x 30-1/8 Door Gasket for Perlick 1029118-1,,Material,154.56000,Inventory
1094-01,Kason Hydraulic Heavy Duty Door Closer - Flush w/exposed mounting tab flush mount,,Material:Refrigeration,283.40000,Inventory
11-0572-21,Scotsman Dual Temp Probe Assy Part# 11-0572-21 (OEM Replacement),,Material:Refrigeration,480.30000,Inventory
11A15-24,"TE CONNECTIVITY / POTTER & BRUMFIELD K10P-11A15-24 POWER RELAY, DPDT, 24VAC, 15A, PLUG IN",,Material,159.60000,Inventory
120-02,"Flare Nut 1/4""",,Material:Copper,0.00000,Inventory
120-03,"Flare Nut 3/8""",,Material:Copper,0.00000,Inventory
120-05,"Flare Nut 1/2""",,Material:Copper,0.00000,Inventory
120-06,"Flare Nut 5/8""",,Material:Copper,0.00000,Inventory
120-07,"Flare Nut 3/4""",,Material:Copper,0.00000,Inventory
120Z5057,120Z5057 DANFLOSS COMP WIRING HARNESS HV 380,,Material,175.69000,Inventory
122-102,"Copper Fitting 1-1/8"" 90",,Material:Copper,0.00000,Inventory
122-103,"Copper Fitting Elbow Street  90°, long 1-1/8"" FTG x 1-1/8"" C",,Material:Copper,87.20000,Inventory
122-104,"Copper Fitting 1-1/8"" 45",,Material:Copper,85.45000,Inventory
122-105,"Copper Fitting 1-1/8"" Coupling",,Material:Copper,40.37000,Inventory
122-106,"Copper Fitting 1-1/8""-3/4"" 90",,Material:Copper,0.00000,Inventory
122-107,"Copper Fitting 1 1/8"" FPT adaptor coupling",,Material:Copper,91.08000,Inventory
122-109,"Copper Fitting 1-1/8""-7/8"" Coupling",,Material:Copper,38.01000,Inventory
122-110,"Copper Fitting reducer,1-1/8"" FTG x 7/8"" C\CR",,Material:Copper,31.44000,Inventory
122-111,"Copper FittingTee,1-1/8"" C x 1-1/8"" C x 1-1/8"" C",,Material:Copper,88.29000,Inventory
122-112,"Copper Fitting 1 1/8"" x 7/8 in. Tee",,Material:Copper,110.42000,Inventory
122-116,"Copper Fitting 1-1/8""- 5/8 Red T",,Material:Copper,0.00000,Inventory
122-120,"Copper Fitting 1-3/8"" 90",,Material:Copper,83.97000,Inventory
122-121,"Copper Fitting 1-3/8"" Street 90",,Material:Copper,109.14000,Inventory
122-122,"Copper Fitting 1-3/8"" 45",,Material:Copper,0.00000,Inventory
122-123,"Copper Fitting 1-3/8""-1-1/8"" 90",,Material:Copper,0.00000,Inventory
122-124,"Copper Fitting 1-3/8"" Coupling",,Material:Copper,56.50000,Inventory
122-126,"Copper Fitting 1-3/8""-1-1/8"" Coupling",,Material:Copper,81.96000,Inventory
122-127,"Copper Fitting reducer, 1-3/8"" FTG x 7/8"" C",,Material:Copper,50.96000,Inventory
122-129,"Copper Fitting 1-3/8"" T",,Material:Copper,86.27000,Inventory
122-131,"Copper Fitting 1-3/8"" Cap",,Material:Copper,0.00000,Inventory
122-134,"Copper Fitting reducer, 1-3/8"" FTG x 1-1/8"" C",,Material:Copper,57.00000,Inventory
122-135,"Copper Fitting 1-5/8"" 90",,Material:Copper,0.00000,Inventory
122-136,"Copper Fitting Elbow, 90°, long fitting, 1-5/8"" FTG x 1-5/8"" C",,Material:Copper,156.09000,Inventory
122-137,"Copper Fitting 1-5/8""-1-1/8"" 90",,Material:Copper,0.00000,Inventory
122-138,"Copper Fitting 1-5/8"" 45",,Material:Copper,84.01000,Inventory
122-139,"Copper Fitting Coupling, rolled stop, 1-5/8"" ODF",,Material:Copper,53.04000,Inventory
122-140,"Copper Fitting 1-5/8""-1-3/8"" Coupling",,Material:Copper,0.00000,Inventory
122-141,"Copper Fitting reducer, 1-5/8"" FTG x 1-3/8"" C",,Material:Copper,66.35000,Inventory
122-142,"Copper Fitting 1-5/8""-1-1/8"" Coupling",,Material:Copper,0.00000,Inventory
122-143,"Copper Fitting 1-5/8"" Reducing T",,Material:Copper,0.00000,Inventory
122-144,"Copper Fitting reducer,1-5/8"" FTG x 1-1/8"" C",,Material:Copper,66.35000,Inventory
122-145,"Copper Fitting 1-5/8"" T",,Material:Copper,0.00000,Inventory
122-147,"Copper Fitting 1-5/8"" Mpt",,Material:Copper,0.00000,Inventory
122-148,"Copper Fitting 1-5/8"" Street 45",,Material:Copper,0.00000,Inventory
122-149,"Copper Fitting 2-1/8""-7/8"" Bushing",,Material:Copper,0.00000,Inventory
122-151,"Copper Fitting 2-1/8"" 45",,Material:Copper,0.00000,Inventory
122-152,"Copper Fitting 2-1/8"" Mpt",,Material:Copper,0.00000,Inventory
122-154,"Copper Fitting 2-1/8"" T",,Material:Copper,0.00000,Inventory
122-156,"Copper Fitting 2-1/8""-1-1/8"" Red",,Material:Copper,0.00000,Inventory
122-157,"Copper Fitting 2-1/8""x1-1/8"" Bushing",,Material:Copper,0.00000,Inventory
122-158,"Copper Fitting 2-1/8""x1-3/8"" Reducer",,Material:Copper,0.00000,Inventory
122-159,"Copper Fitting 2-1/8""x1-1/8"" Reducer",,Material:Copper,0.00000,Inventory
122-1591,"Copper Fitting 2-1/8"" St 90",,Material:Copper,0.00000,Inventory
122-1592,"Copper Fitting 2-1/8"" St 45",,Material:Copper,0.00000,Inventory
122-1602,"Copper Fitting 2-5/8"" St 90",,Material:Copper,0.00000,Inventory
122-1604,"Copper Fitting 2-5/8"" Mpt",,Material:Copper,0.00000,Inventory
122-1605,"Copper Fitting 2-5/8""x2-1/8"" Reducer",,Material:Copper,0.00000,Inventory
122-1606,"Copper Fitting 2-5/8""x2-1/8"" Bushing",,Material:Copper,0.00000,Inventory
122-163,"Copper Fitting 2-5/8"" T",,Material:Copper,0.00000,Inventory
122-164,"Copper Fitting 2-5/8"" 90",,Material:Copper,0.00000,Inventory
122-165,"Copper Fitting 3"" -90",,Material:Copper,0.00000,Inventory
122-166,"Copper Fitting 3"" Street 90",,Material:Copper,0.00000,Inventory
122-25,"Copper Fitting 1/4"" 90",,Material:Copper,0.00000,Inventory
122-27,"Copper Fitting 1/4"" T",,Material:Copper,0.00000,Inventory
122-28,"Copper Fitting 1/4"" Coupling",,Material:Copper,0.00000,Inventory
122-30,"Copper Fitting 3/8"" T",,Material:Copper,0.00000,Inventory
122-31,"Copper Fitting 3/8"" Street 90",,Material:Copper,36.34000,Inventory
122-310,"Copper Fitting 3/8"" Street 45",,Material:Copper,0.00000,Inventory
122-32,"Copper Fitting 3/8"" 45",,Material:Copper,0.00000,Inventory
122-33,"Copper Fitting 3/8"" 90",,Material:Copper,37.69000,Inventory
122-34,"Copper Fitting 3/8"" Coupling",,Material:Copper,5.36000,Inventory
122-35,"Copper Fitting 3/8"" U Bend",,Material:Copper,0.00000,Inventory
122-40,"Copper 1/2"" C x 1/2"" MPT pipe thread adapter, male\CR",,Material:Copper,53.68000,Inventory
122-41,"Copper Fitting Elbow, 90°, long, 1/2"" C x 1/2"" C\CR",,Material:Copper,41.09000,Inventory
122-42,"Copper Fitting Coupling, rolled stop, 1/2"" ODF",,Material:Copper,8.10000,Inventory
122-43,"Copper Fitting 1/2"" 45",,Material:Copper,0.00000,Inventory
122-44,"Copper Fitting 1/2"" Street 90",,Material:Copper,0.00000,Inventory
122-45,"Copper Fitting 1/2"" T",,Material:Copper,0.00000,Inventory
122-46,"Copper Fitting 1/2"" U Bend",,Material:Copper,0.00000,Inventory
122-47,"Copper Fitting 1/2"" Street U Bend",,Material:Copper,0.00000,Inventory
122-48,"Copper Fitting 1/2""- 3/8"" Coupling",,Material:Copper,0.00000,Inventory
122-491,"Copper Fitting 1/2"" Cap",,Material:Copper,0.00000,Inventory
122-50,"Copper Fitting 5/8"" 90",,Material:Copper,32.10000,Inventory
122-51,"Copper Fitting 5/8"" 45",,Material:Copper,0.00000,Inventory
122-52,"Copper Fitting Coupling, rolled stop, 5/8"" ODF\CR",,Material:Copper,6.92000,Inventory
122-53,"Copper Fitting 5/8"" T",,Material:Copper,0.00000,Inventory
122-531,"Copper Fitting 5/8""-3/8"" Red- T",,Material:Copper,0.00000,Inventory
122-54,"Copper Fitting 5/8"" Street 90",,Material:Copper,0.00000,Inventory
122-55,"Copper Fitting 5/8""-3/8"" Bushing",,Material:Copper,0.00000,Inventory
122-57,"Copper Fitting 5/8""-1/2"" 90",,Material:Copper,0.00000,Inventory
122-59,"Copper Fitting 5/8""-1/2"" Coupling",,Material:Copper,27.29000,Inventory
122-60,"Copper Fitting 5/8""-1/2"" Mpt",,Material:Copper,17.57000,Inventory
122-641,"Copper Fitting 5/8""-1/2"" Bushing",,Material:Copper,13.37000,Inventory
122-65,"Copper Fitting 3/4"" 45",,Material:Copper,58.15000,Inventory
122-66,"Copper Fitting 3/4"" 90",,Material:Copper,32.49000,Inventory
122-67,"Copper Fitting 3/4"" Street 90",,Material:Copper,57.00000,Inventory
122-68,"Copper Fitting Tee, 3/4"" C x 3/4"" C x 3/4"" C",,Material:Copper,73.80000,Inventory
122-69,"Copper Fitting 3/4"" Coupling",,Material:Copper,14.12000,Inventory
122-70,"Copper Fitting coupling 3/4"" X 5/8""",,Material:Copper,39.60000,Inventory
122-74,"Copper Fitting 3/4""-mpt",,Material:Copper,0.00000,Inventory
122-75,"Copper Fitting 3/4"" Street 45",,Material:Copper,0.00000,Inventory
122-76,"Copper Fitting 3/4"" Reducing T To 3/8""",,Material:Copper,0.00000,Inventory
122-77,"Copper Fitting 3/4""-1/2"" Bushing",,Material:Copper,0.00000,Inventory
122-80,Copper Fitting 7/8 90degree long radius,,Material:Copper,41.46000,Inventory
122-81,Copper Fitting 7/8 L.R. ST 90,,Material:Copper,31.68000,Inventory
122-82,"Copper Fitting 7/8"" 45",,Material:Copper,0.00000,Inventory
122-83,Copper Fitting 7/8 COUPLING,,Material:Copper,11.10000,Inventory
122-85,Copper Fitting 7/8X7/8X7/8 TEE,,Material:Copper,39.29000,Inventory
122-86,"Copper Fitting 7/8""-1/2"" 90",,Material:Copper,0.00000,Inventory
122-87,"Copper Fitting 7/8""-5/8"" 90",,Material:Copper,0.00000,Inventory
122-88,"Copper Fitting 7/8"" 45° Street",,Material:Copper,47.34000,Inventory
122-89,"7/8"" FTG x 5/8"" Copper Bushing",,Material:Copper,35.40000,Inventory
122-91,"Copper Fitting 7/8""-3/4"" Coupling",,Material:Copper,81.32000,Inventory
122-92,"Copper Fitting 7/8""-3/4"" Bushing",,Material:Copper,37.06000,Inventory
122-93,"Copper Fitting 7/8""-3/4"" Fpt",,Material:Copper,43.53000,Inventory
122-94,Copper Fitting 7/8X3/4 SXMPT adaptor,,Material:Copper,25.80000,Inventory
122-95,"Copper Fitting 7/8""-1/2"" Reducer",,Material:Copper,0.00000,Inventory
12-3124-02,Scotsman 12-3124-02 Water Inlet Solenoid,,Material:Refrigeration,213.15000,Inventory
12-3245-01,"SCOTSMAN 12-3245-01 MOTOR RAN 230V 50/60 NO ""E""",,Material:Refrigeration,646.35000,Inventory
12J20,Lennox 104110-03 Thermostatic Expansion Valve 3.5-5 Tons R-410A,,Material,299.33000,Inventory
140-02,"PVC Pipe 1/2"" Per Foot",,Material:PVC,0.00000,Inventory
140-04,"PVC PIPE 3/4"" Per Foot",,Material:PVC,3.51000,Inventory
140-06,"PVC Pipe 1"" Per Foot",,Material:PVC,9.78000,Inventory
140-08,"PVC Pipe 1-1/4"" Per Foot",,Material:PVC,0.00000,Inventory
140-10,"PVC Pipe 1-1/2"" Per Foot",,Material:PVC,0.00000,Inventory
140-12,"PVC Pipe 2"" Per Foot",,Material:PVC,0.00000,Inventory
140-13,"PVC Pipe 3"" Per Foot",,Material:PVC,0.00000,Inventory
140-14,"PVC PIPE 4"" Per Foot",,Material:PVC,16.50000,Inventory
140-200,"PVC 1/2"" 90",,Material:PVC,0.00000,Inventory
140-201,"PVC 1/2"" MPT-90",,Material:PVC,0.00000,Inventory
140-202,"PVC 1/2"" FPT-90",,Material:PVC,0.00000,Inventory
140-203,"PVC 1/2"" Coupling",,Material:PVC,0.00000,Inventory
140-204,"PVC 1/2"" MPT",,Material:PVC,4.52000,Inventory
140-205,"PVC 1/2"" FPT",,Material:PVC,0.00000,Inventory
140-206,"PVC 1/2"" T",,Material:PVC,0.00000,Inventory
140-207,"PVC 1/2"" 45",,Material:PVC,0.00000,Inventory
140-208,"PVC 1/2"" Cap",,Material:PVC,0.00000,Inventory
140-209,"PVC 1/2"" Cap-FPT",,Material:PVC,0.00000,Inventory
140-210,"PVC 1/2"" Plug MPT",,Material:PVC,0.00000,Inventory
140-211,1/2 in. x 3/4 in. PVC Schedule 40 MPT x S Male Reducer Adapter,,Material:PVC,9.69000,Inventory
140-213,"PVC 3/4"" 90",,Material:PVC,2.93000,Inventory
140-214,"PVC 3/4"" FPT-90",,Material:PVC,3.97000,Inventory
140-215,"PVC 3/4"" MPT-90",,Material:PVC,6.89000,Inventory
140-216,"PVC 3/4"" 45",,Material:PVC,7.09000,Inventory
140-217,"PVC 3/4"" T",,Material:PVC,3.97000,Inventory
140-218,"PVC 3/4"" MPT",,Material:PVC,2.70000,Inventory
140-219,"PVC 3/4"" FPT",,Material:PVC,3.97000,Inventory
140-220,"PVC 3/4"" Coupling",,Material:PVC,2.77000,Inventory
140-221,"PVC 3/4"" Cap",,Material:PVC,2.92000,Inventory
140-222,"PVC 3/4"" FPT-cap",,Material:PVC,5.92000,Inventory
140-223,"PVC 3/4"" Plug",,Material:PVC,0.00000,Inventory
140-224,"PVC 3/4"" MPT-plug",,Material:PVC,0.00000,Inventory
140-225,"PVC 3/4""- 1/2"" Bushing",,Material:PVC,0.00000,Inventory
140-226,"PVC 3/4"" P-trap",PVCPT34,Material:PVC,15.09000,Inventory
140-227,"PVC 3/4"" Running P-trap",PVCRT34,Material:PVC,16.18000,Inventory
140-228,"PVC 3/4"" Street 90",PVCSE34,Material:PVC,9.49000,Inventory
140-230,"PVC 1"" 90",,Material:PVC,8.69000,Inventory
140-232,"PVC 1"" Mpt-90",,Material:PVC,0.00000,Inventory
140-233,"PVC 1"" 45",,Material:PVC,12.26000,Inventory
140-234,"PVC 1"" T",,Material:PVC,10.59000,Inventory
140-235,"PVC 1"" Coupling",,Material:PVC,6.89000,Inventory
140-236,"PVC 1"" FPT",,Material:PVC,0.00000,Inventory
140-237,"PVC 1"" MPT",,Material:PVC,8.17000,Inventory
140-238,"PVC 1"" Cap",,Material:PVC,7.06000,Inventory
140-239,"PVC 1"" FPT-cap",,Material:PVC,0.00000,Inventory
140-240,"PVC 1""-3/4"" Bushing",,Material:PVC,8.28000,Inventory
140-241,"PVC 1""-1/2"" Bushing",,Material:PVC,8.24000,Inventory
140-243,"PVC 1-1/4"" T",,Material:PVC,0.00000,Inventory
140-245,"PVC 1-1/4"" 90",,Material:PVC,0.00000,Inventory
140-246,"PVC 1-1/4"" Fpt-90",,Material:PVC,0.00000,Inventory
140-247,"PVC 1-1/4"" Mpt-90",,Material:PVC,0.00000,Inventory
140-248,"PVC 1-1/4"" 45",,Material:PVC,0.00000,Inventory
140-249,"PVC 1-1/4"" FPT",,Material:PVC,0.00000,Inventory
140-250,"PVC 1-1/4"" MPT",,Material:PVC,0.00000,Inventory
140-251,"PVC 1-1/4"" Coupling",,Material:PVC,0.00000,Inventory
140-252,"PVC 1-1/4"" Cap",,Material:PVC,0.00000,Inventory
140-253,"PVC 1-1/4""-1"" Bushing",,Material:PVC,0.00000,Inventory
140-257,"PVC 1-1/4"" St 90",,Material:PVC,0.00000,Inventory
140-258,"PVC 1-1/2"" 90",,Material:PVC,0.00000,Inventory
140-259,"PVC 1-1/2"" Fpt-90",,Material:PVC,0.00000,Inventory
140-260,"PVC 1-1/2"" Mpt-90",,Material:PVC,0.00000,Inventory
140-261,"PVC 1-1/2"" 45",,Material:PVC,0.00000,Inventory
140-262,"PVC 1-1/2"" T",,Material:PVC,0.00000,Inventory
140-263,"PVC 1-1/2"" Coupling",,Material:PVC,0.00000,Inventory
140-265,"PVC 1-1/2"" MPT",,Material:PVC,0.00000,Inventory
140-266,"PVC 1-1/2"" Cap",,Material:PVC,0.00000,Inventory
140-267,"PVC 1-1/2"" FPT-cap",,Material:PVC,0.00000,Inventory
140-2710,"PVC 1-1/2"" St 90",,Material:PVC,0.00000,Inventory
140-272,"PVC 2"" 90",,Material:PVC,0.00000,Inventory
140-273,"PVC 2"" 45",,Material:PVC,0.00000,Inventory
140-277,"PVC 2"" Coupling",,Material:PVC,0.00000,Inventory
140-278,2 in. x 2 in. PVC FIP x FIP Union,,Material:PVC,87.79000,Inventory
140-280,"PVC 2"" MALE ADAPTER SXMPT",,Material:PVC,14.19000,Inventory
140-281,"PVC 2"" FPT",,Material:PVC,0.00000,Inventory
140-284,"PVC 2-1/2""MPT",,Material:PVC,0.00000,Inventory
140-285,"PVC 2-1/2"" 90",,Material:PVC,0.00000,Inventory
140-286,"PVC 2-1/2"" FPT",,Material:PVC,0.00000,Inventory
140-287,"PVC 2-1/2"" Coupling",,Material:PVC,0.00000,Inventory
140-288,"PVC 2-1/2"" T",,Material:PVC,0.00000,Inventory
140-2888,"PVC 2-1/2""x2"" Bushing",,Material:PVC,0.00000,Inventory
140-289,"PVC 3"" FPT",,Material:PVC,0.00000,Inventory
140-290,"PVC 3"" 90",,Material:PVC,0.00000,Inventory
140-291,"PVC 3"" 45",,Material:PVC,0.00000,Inventory
140-292,"PVC 3"" Coupling",,Material:PVC,0.00000,Inventory
140-293,"PVC 3"" MPT",,Material:PVC,0.00000,Inventory
140-294,"PVC 3"" Cap",,Material:PVC,0.00000,Inventory
140-296,"PVC 3""-1-1/2"" Bushing",,Material:PVC,0.00000,Inventory
140-298,"PVC 3"" Ball Valve",,Material:PVC,0.00000,Inventory
140-299,"PVC 4"" St. 90",,Material:PVC,0.00000,Inventory
140-300,"PVC 4"" 90",,Material:PVC,0.00000,Inventory
140-301,"PVC 4"" Lr 90",,Material:PVC,0.00000,Inventory
140-303,"PVC 4"" 45",,Material:PVC,0.00000,Inventory
140-304,"PVC 4"" Coupling",,Material:PVC,0.00000,Inventory
140-306,"PVC 4""-1-1/2"" Bushing",,Material:PVC,0.00000,Inventory
140-307,"PVC 5"" Coupling",,Material:PVC,0.00000,Inventory
140-308,"PVC 5""-4"" Bushing",,Material:PVC,0.00000,Inventory
140-309,"PVC 6"" 90",,Material:PVC,0.00000,Inventory
140-310,"PVC 6"" Coupling",,Material:PVC,0.00000,Inventory
140-315,"PVC 8"" 45",,Material:PVC,0.00000,Inventory
140-525,"2 1/2"" PVC SCH80 VAN FLANGE SPIN COLLAR",,Material:PVC,0.00000,Inventory
143-10,"Hose Barb-3/4""mpt (plastic)",,Material,0.00000,Inventory
143-11,3/4 Brass Hose Barb 90*,,Material,0.00000,Inventory
143-12,3/4 X 3/4 BRASS HOSE BARB MPT STRAIGHT,,Material,0.00000,Inventory
143-13,"1"" Brass Hose Barb 90",,Material,0.00000,Inventory
143-14,"HOSE BARB FITTING 1"" MPT X HOSE BARB",,Material,0.00000,Inventory
144-02,"Brass Valve 1/4 turn 1/2"".",,Material,74.86000,Inventory
144-06,"Brass Valve 1/4 Turn 1""",,Material,0.00000,Inventory
144-08,"Brass Valve 1/4 Turn 1 1/2""",,Material,0.00000,Inventory
144-09,"2"" Brass Ball Valve",,Material,0.00000,Inventory
14G28,C1DAMP20B-1 KIT MOTORIZED OAD AND HOOD,,Equipment,1550.52000,Inventory
150-02,Water Filter-cartridge(all Types),,Material,0.00000,Inventory
15G81,"Elite, CBA27UHE, 1.5 Ton\CRHigh Efficiency Air Handler\CRUpflow/Horizontal",15G81,Equipment,0.00000,Inventory
15Z69,"M30, Touchscreen Smart Programmable Thermostat Wi-Fi Touchscreen Universal 4 Heat/2 Cool",,Material,476.59000,Inventory
16115,"Master-Bilt 161115 Fan Assembly w/ Blade, 120V",,Material:Refrigeration,538.08000,Inventory
16-3000-34,"Arctic Snap-on Freezer Door Frame Channel - 3 Piece Set (provide walk-in serial # during checkout) - 34""",,Material:Refrigeration,428.00000,Inventory
170-1183-F,16-7/8 x 23-13/16 Dr Gasket for Delfield,,Material,295.32000,Inventory
1701185,Delfield 1701185 27 Inch Door Gasket 24.88 X 23.85 Inches,,Material:Refrigeration,171.50000,Inventory
170-1185-F,"23-7/8"" x 24-7/8"" Dr Gasket for Delfield",,Material,258.60000,Inventory
1701527,Delfield 1701527 DWR Uc 24 Gasket,,Material,181.84000,Inventory
170-2541-F,"13"" x 21-7/8"" Drawer Gasket for Delfield",,Material,258.60000,Inventory
172563,"Norlake 172563 Door Gasket, P-2209/10-516",,Material:Refrigeration,240.84000,Inventory
1821H,1821H 1.5HP OAO1140 RPM 200/230/460,,Material,869.44000,Inventory
1868E,"Condenser fan duty motor, PSC, totally enclosed, sleeve bearing, 5-5/8"" diameter, 3/4 HP, 208-230 volt, 1075 RPM, REV, 1/2"" shaft diameter",,Material,452.94000,Inventory
19F09,"Lennox ECB29-4CB-7P, 4 kW Electric Heat Kit with Circuit Breaker, 208-240 VAC 1 Ph",19F09,Material,204.00000,Inventory
1RX58S,"Shut off valve, sweat x roto lock, 90°, 5/8"" IDS, 1-14 roto lock",,Material:Refrigeration,110.25000,Inventory
1VL40-5/8,"Variable Pitch V-Belt Pulley: 1 Groove, 3.75 in Outside Dia, 5/8 in Bore Dia, 1VL40",,Material,84.14000,Inventory
"""1VM50-7/8""""","1VM50-7/8"" 4.75"" OD VM SHEAVE 1 GROVE",,Material,157.36000,Inventory
1VP25,"Variable Pitch V-Belt Pulley: 1 Groove, 2.5 in Outside Dia, 1/2 in Bore Dia, 1VP25",,Material,140.40000,Inventory
1VP44X7/8,"APPROVED VENDOR Variable Pitch V-Belt Pulley: 1 Groove, 4.15 in Outside Dia, 7/8 in Bore Dia, 1VP44",,Material,208.03000,Inventory
1VP65138,"TB WOODS Variable Pitch V-Belt Pulley: 1 Groove, 6.5 in Outside Dia, 1 3/8 in Bore Dia, 1VP65",,Material,122.43000,Inventory
2 WAY-10X6,2 WAY-10X6 TWO WAY WHITE GRILL AIR GUIDE,,Material,57.40000,Inventory
200-02,Refrigerant R-22 Per Lb (30 Lbs In Each Full Drum),,Material:Refrigerant,0.00000,Inventory
200-04,Refrigerant R-408a Per Lb (24 Lbs In Each Full Dr,,Material:Refrigerant,0.00000,Inventory
200-05,Refrigerant R-422d Per Lb. (25 Lbs. In Each Full Drum),,Material:Refrigerant,78.11000,Inventory
200-06,Refrigerant R-422e Per Lb (25 Lbs In Each Full Dr,,Material:Refrigerant,0.00000,Inventory
200-08,Refrigerant R-134a Per Lb (30 Lbs In Each Full Drum),,Material:Refrigerant,49.25000,Inventory
200-09,Refrigerant R-410a Per Lb. (25 Lbs. in Each Full Drum),,Material:Refrigerant,49.86000,Inventory
200-10,Refrigerant R-409a Per Lb (30 Lbs In Each Full Drum),,Material:Refrigerant,0.00000,Inventory
200-11,Refrigerant R-404a/hp62 Per Lb. (24 Lbs. In Each Full Drum),,Material:Refrigerant,63.50000,Inventory
200-12,Refrigerant R-414b Per Lb,,Material:Refrigerant,0.00000,Inventory
200-17,Refrigerant R-407C Per Lb (25 Lbs In Each Full D,,Material:Refrigerant,0.00000,Inventory
200-19,Refrigerant R290 PER OUNCE - 14OZ PER TANK,,Material:Refrigerant,12.87000,Inventory
200-454B,Refrigerant R-454B Per Lb. (25 Lbs. In Each Full Dr),,Material:Refrigerant,139.08000,Inventory
