Item Name,Description,Mfg Part #,Category,Rate,Item Type
WIRE HIDE,Wire Hide™ Condenser Fan Wire Concealer,,Material:Wire,73.64000,Inventory
WIRE STAPLES,1/2 in. 2-Conductor Metal Staples (100-Pack),,Material,0.00000,Non Inventory
WIRE TIE ALL,WIRE TIE,,Material,52.90000,Non Inventory
"""WOOD SCREW 1 5/8""""",#9 x 1-5/8 in. Star Drive Bugle Head Deck Elite Wood Deck Screw (540-Pack),,Material,0.00000,Non Inventory
"""WOOD SCREW 3""""",#9 x 3 in. Torx Drive Bugle Head Deck Elite Wood Deck Screw (80-Pack),,Material,0.00000,Non Inventory
X4210,"Lennox X4210 Ln Zone Damper 9"" Round",,Material,0.00000,Inventory
X4211,"Lennox Zone Damper, Round, 10 Inch, 6610L",,Material,267.50000,Inventory
X4213,"Lennox X4213 Zone Damper 12"" Round",,Material,291.58000,Inventory
X4214,"Lennox Ln Zone Damper 14"" Round",,Material,0.00000,Inventory
X6666,Lennox H/c Pureair Merv 16 Repl Filter Pco-1,,Material,0.00000,Inventory
X6669,Lennox Pureair Merv 16 Repl Filter Pco-20c 2,,Material,0.00000,Inventory
X6673,Lennox X6673 H/c Hcf20-10 Merv 10 Repl Fitr 20x25x5,,Material,0.00000,Inventory
X6675,Lennox Filters Hcf20-16 Merv 16 20x25x5,,Material,0.00000,Inventory
X7930,"Lennox Healthy Climate, HCC14-23, Media Air Cleaner Cabinet 20 x 20 x 5 Inch Cat #: X7930 Model/Part #: HCC14-23",,Material,311.51000,Inventory
X7935,Lennox X7935 H/c Hcf14-16 Merv 16 Repl Fitr 20 X 20 X:,,Material,266.25000,Inventory
X8345,Lennox H/c Pco-20c Merv 16 Maint Kit W/ Insr,,Material,0.00000,Inventory
X8347,Lennox Pco-12c Maintenance Kit With Insert,,Material,0.00000,Inventory
X8349,Lennox H/c Pco-12c Merv 10 Maint Kit W/insrt,,Material,0.00000,Inventory
X87-721,"Condensate Pump, Removal, 2.3 in Overall WD,6.2 in O",,Material,0.00000,Inventory
