Customer,WO #,Invoice #,Date,Due Date,Total,Balance,Invoice Pay Status,WO Description,Summary
100 Emerald Beach Way,2012,i1933,2026-04-14 12:00 AM,2026-05-14 12:00 AM,0.00,0.00,NON-BILLABLE,PINK ROOM AREA-NOT COOLING/\CRLukas placed the call.\CRNo charge per Rob.,"PINK ROOM AREA-NOT COOLING/\CRPink room off on flow switch, vacuum water out and cleaned drain line.\CRAlso, living room unit was off, due to a loose wire"
100 Emerald Beach Way,2042,i1948,2026-04-23 12:00 AM,2026-05-23 12:00 AM,0.00,0.00,NON-BILLABLE,IN-DEPTH A/C MAINTENANCE FOR APRIL 2026/\CR,"IN-DEPTH A/C MAINTENANCE FOR APRIL 2026/\CRMaintenance completed by Gabriel/Pablo. \CRCleared drain lines. cleaned drain pans, changed filters, and checke"
100 Emerald Beach Way,2119,i2023,2026-05-05 12:00 AM,2026-06-04 12:00 AM,0.00,0.00,NON-BILLABLE,WATER TREATMENT FOR APRIL 2026/\CR,WATER TREATMENT FOR APRIL 2026/\CRTowers - All levels within acceptable ranges. No changes made at this time.
100 Emerald Beach Way,2171,i2062,2026-06-12 12:00 AM,2026-07-12 12:00 AM,0.00,0.00,NON-BILLABLE,"IN-DEPTH A/C MAINTNEANCE FOR MAY 2026/\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller, 1-Marley AQ493 cooling tower,",IN-DEPTH A/C MAINTNEANCE FOR MAY 2026/\CR5/28-need to reschedule for next week.\CRCompleted by Gabriel. \CR6/12/2026-next maintenance- need 1-A110 belt for
100 Emerald Beach Way,2196,i2086,2026-05-22 12:00 AM,2026-06-21 12:00 AM,0.00,0.00,NON-BILLABLE,WATER TREATMENT FOR COOLING TOWERS AND CHILLERS FOR MAY 2026/\CR,WATER TREATMENT FOR COOLING TOWERS AND CHILLERS FOR MAY 2026/\CRTower: levels are within acceptable ranges. Water temperatures are slightly elevated but
100 Emerald Beach Way,2406,i2285,2026-07-06 12:00 AM,2026-08-05 12:00 AM,378.00,378.00,DUE,WHOLE HOUSE DOWN-A/C NO COOL/,WHOLE HOUSE DOWN-A/C NO COOL/\CR1.- checked and found the chiller had a alarm code T052 and the CU2 breaker was off. Reset the alarm code and turned on
1141,1981,i1934,2026-04-13 12:00 AM,2026-05-13 12:00 AM,0.00,0.00,NON-BILLABLE,FIRE PLACE AREA-UNIT NOT WORKING-HAS 2 ERROR CODES E250 AND 292 AND ALSO LOOK AT UNIT THAT SERVICES SW BEDROOM AND GAME ROOM AREA-NOT WORKING/,"FIRE PLACE AREA-UNIT NOT WORKING AND SW BEDROOM/GAME ROOM AREA-NOT WORKING/\CRChecked system, E292 in AHU. System needs a new blower motor. \CRM/N CBA38MV"
1141,2058,i1966,2026-04-30 12:00 AM,2026-05-30 12:00 AM,4148.00,4148.00,OVERDUE,Paid REPLACE 3 CONDENSER COILS/$4148.00\CRReplaced blower motor for lounge area a/c.  Once operational found system was void of refrigerant. Performed d,REPLACE 3 CONDENSER COILS/\CRReplaced all three coils.
1141,2106,i2039,2026-05-01 12:00 AM,2026-05-31 12:00 AM,0.00,0.00,NON-BILLABLE,2 UNITS WE REPLACED THE COND COILS-ARE NOT WORKING/\CRNo charge per Rob.,"2 UNITS WE REPLACED THE COND COILS-ARE NOT WORKING/\CRFound unit overcharged. Adjusted refrigerant. Checked operation, all working normal. \CR"
1236 S Ocean Blvd-Thornton,2003,i1921,2026-04-23 12:00 AM,2026-05-23 12:00 AM,3683.00,3683.00,OVERDUE,Paid DISCONNECT OFFICE A/C UNIT/\CRPaid ACH on 07/08/2026-NOTE: check bounced---Paid ck #214148 on 7/2/2026,"DISCONNECT OFFICE A/C UNIT/\CRDisconnect private office a/c system and duct work, removed from roof. Sealed up ducts below roof deck. Reinstalled roofin"
1236 S Ocean Blvd-Thornton,2100,i2004,2026-06-01 12:00 AM,2026-07-01 12:00 AM,9191.00,9191.00,OVERDUE,CONTINUATION OF JOB FOR MAY 2026/,CONTINUATION OF JOB/\CRLabor and material required for duct modifications of exhaust fans for roofing contractor.
1236 S Ocean Blvd-Thornton,2235,i2125,2026-06-12 12:00 AM,2026-07-12 12:00 AM,3585.00,3585.00,OVERDUE,ACTIVITY FOR JUNE FROM 6/1-6/17/2026\CRSent bill on 6/23/2026 to Jay G.,ACTIVITY FOR JUNE FROM 6/1-6/17/2026/\CRContinued reroof project modified exhaust ducting for several fans.
6767 N Ocean Blvd.,1694,i1642,2026-01-26 12:00 AM,2026-02-25 12:00 AM,0.00,0.00,NON-BILLABLE,UNIT #11- GUEST BEDROOM AREA-COND MAKING NOISE/CUST TURNED UNIT OFF/,"UNIT #11- GUEST BEDROOM AREA-COND MAKING NOISE/\CRChecked customer concerns, condenser unit 1, condenser fan motor-bad bearing causing loud noise. We ne"
6767 N Ocean Blvd.,1620,i1644,2026-01-07 12:00 AM,2026-02-06 12:00 AM,178.00,178.00,OVERDUE,Paid UNIT #15-MASTER BEDROOM AREA-NO HEAT/\CRMarilyn placed the call.\CRPaid ck #8616 on 02/10/2026,UNIT #15-MASTER BEDROOM AREA-NO HEAT/\CR1/2/26\CRFound relay to heat strip not closing. Broke loose for now. Will order new relay.\CR1/7/26\CRReplace heater r
6767 N Ocean Blvd.,1728,i1672,2026-02-27 12:00 AM,2026-03-29 12:00 AM,333.00,333.00,OVERDUE,Paid INDEPTH A/C MAINTENANCE FOR FEBRUARY 2026/\CRPaid ck #8666 on 03/31/2026.\CR,INDEPTH A/C MAINTENANCE FOR FEBRUARY 2026/\CRMaintenance completed. \CRFound during maintenance. See detail below. \CR**#14-Replaced capacitors in both outd
6767 N Ocean Blvd.,1732,i1675,2026-02-05 12:00 AM,2026-03-07 12:00 AM,7649.00,7649.00,OVERDUE,"Paid HOUSE-11\CRINSTALL 1- Lennox 1.5ton air conditioning system. Rated at a 16.0 SEER2 @ 18,000 BTU/hr.\CR(ML14KC1-018 condensing unit, CBK47-018 air han",INSTALLED 1- Lennox 1.5ton air conditioning system for guest bedroom area. Started up system and working normal at this time.
6767 N Ocean Blvd.,1817,i1753,2026-02-27 12:00 AM,2026-03-29 12:00 AM,705.36,705.36,OVERDUE,"Paid VILLA-#9-BEDROOM AREA CU-#3/$705.36\CRNeed to replace warranty condenser coil that is leaking, found during the maintenance.\CRPaid ck #8661 on 03/23","VILLA-#9-BEDROOM AREA CU-#3\CRReplaced warranty condenser coil. Checked system operation, all working normal at this time."
6767 N Ocean Blvd.,1764,i1770,2026-02-13 12:00 AM,2026-03-15 12:00 AM,0.00,0.00,NON-BILLABLE,VILLA #11-THERMOSTAT BLANK/\CRWarranty call.,VILLA #11-THERMOSTAT BLANK/\CR1/4 TURN HAND VALVE LEFT CLOSED AFTER INSTALL. UNIT WENT OFF ON FLOAT SWITCH. OPENED VALVE DRAIN LINE FLOWED OUT UNIT BACK
6767 N Ocean Blvd.,1914,i1829,2026-03-20 12:00 AM,2026-04-19 12:00 AM,12993.00,12993.00,OVERDUE,"Paid HOUSE #13/\CRLIVING ROOM INSTALL 1 – Lennox Ultra efficiency variable 3-ton air conditioning system w/ heat.  Rated 19SEER 35,000 BTU/hr.\CR(EL18KCV-",HOUSE #13/ Installed 3-ton Split System for Living Room Area. Started up and charged system running normal at this time.
6767 N Ocean Blvd.,1879,i1845,2026-03-13 12:00 AM,2026-04-12 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #15-NOT COOLING/NORTHEND-71 DEG/CENTER 75 DEG/SOUTH MASTER 72 DEG/\CRNORTHEND-EXTRA COLD/\CRNo charge.,HOUSE #15-NOT COOLING/NORTHEND-71 DEG/CENTER 75 DEG/SOUTH MASTER 72 DEG/\CRNORTHEND-EXTRA COLD/\CR3/12-Found grandchildren had thermostat set at 68 deg. N
6767 N Ocean Blvd.,2034,i1943,2026-04-17 12:00 AM,2026-05-17 12:00 AM,0.00,0.00,NON-BILLABLE,HOUSE #13-PINK ROOM-BY LAUNDRY AREA-ONLY COOLING THE FRONT SIDE AND NEW A/C NOT READING TEMP/\CRLori placed service call via email.  \CRNo charge new inst,HOUSE #13-PINK ROOM-BY LAUNDRY AREA-ONLY COOLING THE FRONT SIDE AND NEW A/C NOT READING TEMP/\CR04/17/2026\CRChecked customer's concern. All system are wo
6767 N Ocean Blvd.,2066,i1972,2026-04-28 12:00 AM,2026-05-28 12:00 AM,766.00,766.00,OVERDUE,"Paid HOUSE #15-SOUTH END AREA-MASTER BEDROOM/\CRNeed to replace warranty condenser coil, drier and recharge system to restore cooling for this area.\CRPai","HOUSE #15-SOUTH END AREA-MASTER BEDROOM/\CRReplaced warranty condenser coil for master bedroom. Checked operation, all working normal at this time."
